No,Classification,Name of Cultural Heritage,Korean,Address,,,,,,,
878,Treasure,"Flagpole Supports in Eupnae-dong, Asan",아산 읍내동 당간지주 ( 牙山 邑內洞 幢竿支柱 ),Chungcheongnam-do Asan-si,,,,,,,
879,Treasure,"Flagpole Supports in Ogwan-ri, Hongseong",홍성 오관리 당간지주 ( 洪城 五官里 幢竿支柱 ),Chungcheongnam-do Hongseong-gun,,,,,,,
880,Treasure,"Ordination Platform of Yongyeonsa Temple, Dalseong",달성 용연사 금강계단 ( 達城 龍淵寺 金剛戒壇 ),Daegu Dalseong-gun,,,,,,,
881,Treasure,"Four Lion Three-story Stone Pagoda in Gwaeseok-ri, Hongcheon",홍천 괘석리 사사자 삼층석탑 ( 洪川 掛石里 四獅子 三層石塔 ),Gangwon-do Hongcheon-gun,,,,,,,
882,Treasure,"Stone Seated Buddha in Mulgeol-ri, Hongcheon",홍천 물걸리 석조여래좌상 ( 洪川 物傑里 石造如來坐像 ),Gangwon-do Hongcheon-gun,,,,,,,
883,Treasure,"Stone Seated Vairocana Buddha in Mulgeol-ri, Hongcheon",홍천 물걸리 석조비로자나불좌상 ( 洪川 物傑里 石造毘盧遮那佛坐像 ),Gangwon-do Hongcheon-gun,,,,,,,
884,Treasure,"Stone Pedestal in Mulgeol-ri, Hongcheon",홍천 물걸리 석조대좌 ( 洪川 物傑里 石造臺座 ),Gangwon-do Hongcheon-gun,,,,,,,
885,Treasure,"Stone Pedestal and Mandorla in Mulgeol-ri, Hongcheon",홍천 물걸리 석조대좌 및 광배 ( 洪川 物傑里 石造臺座 및 光背 ),Gangwon-do Hongcheon-gun,,,,,,,
886,Treasure,"Three-story Stone Pagoda in Mulgeol-ri, Hongcheon",홍천 물걸리 삼층석탑 ( 洪川 物傑里 三層石塔 ),Gangwon-do Hongcheon-gun,,,,,,,
887,Treasure,"Stone Standing Buddha in Multae-ri, Jecheon",제천 물태리 석조여래입상 ( 堤川 勿台里 石造如來立像 ),Chungcheongbuk-do Jecheon-si,,,,,,,
888,Treasure,Artifacts of Kim Jeong-hui’s Family,김정희 종가 유물 ( 金正喜 宗家 遺物 ),Seoul Yongsan-gu,,,,,,,
889,Treasure,Artifacts of Kim Jeong-hui’s Family,김정희 종가 유물 일괄 ( 金正喜 宗家 遺物 一括 ),Jeju-do Seogwipo-si,,,,,,,
890,Treasure,Calligraphy by Yi Hwang,이황 필적 - 퇴도선생필법 및 퇴도선생유첩 ( 李滉 筆蹟 - 退陶先生筆法 및 退陶先生遺帖 ),Gyeongsangbuk-do Andong-si,,,,,,,
891,Treasure,Calligraphy by Yi Hwang,이황 필적 - 선조유묵첩 ( 李滉 筆蹟 - 先祖遺墨帖 ),Gyeongsangbuk-do Andong-si,,,,,,,
892,Treasure,Documents of Gwon Ju’s Family,권주 종가 고문서 ( 權柱 宗家 古文書 ),Gyeongsangbuk-do Andong-si,,,,,,,
893,Treasure,Juyeok cheongyeollok (Shallow Views on the Book of Changes),주역천견록 ( 周易淺見錄 ),Seoul Seodaemun-gu,,,,,,,
894,Treasure,Siyong hyangakbo (Contemporary Music Scores),시용향악보 ( 時用鄕樂譜 ),Seoul Seodaemun-gu,,,,,,,
895,Treasure,"Jachi tonggam gangmok (Itemized Comprehensive Mirror for Aid in Government), Part 2 of Volume 19",자치통감강목 권19의하 ( 資治通鑑綱目 卷十九의下 ),Seoul Seodaemun-gu,,,,,,,
896,Treasure,"Chunghyodang House of the Yean Yi Clan, Andong",안동 예안이씨 충효당 ( 安東 禮安李氏 忠孝堂 ),Gyeongsangbuk-do Andong-si,,,,,,,
897,Treasure,"Taegojeong House, Dalseong",달성 태고정 ( 達城 太古亭 ),Daegu Dalseong-gun,,,,,,,
898,Treasure,Earthenware Boat-shaped Funerary Object,도기 배모양 명기 ( 陶器 舟形 明器 ),Seoul Yongsan-gu,,,,,,,
899,Treasure,Earthenware Shoe-shaped Funerary Objects,도기 신발모양 명기 ( 陶器 履形 明器 ),Seoul Yongsan-gu,,,,,,,
900,Treasure,Gold Earrings,금귀걸이 ( 金製耳飾 ),Seoul Yongsan-gu,,,,,,,
901,Treasure,"Celadon Prunus Vase with Inlaid Cloud, Crane, Peony, and Chrysanthemum Design",청자 상감운학모란국화문 매병 ( 靑磁 象嵌雲鶴牡丹菊花文 梅甁 ),Seoul Yongsan-gu,,,,,,,
902,Treasure,Painted Lacquered Bowl,채화칠기 ( 彩畵漆器 ),Seoul Yongsan-gu,,,,,,,
903,Treasure,Bronze Seal of Ye Chieftain,청동 진솔선예백장 인장 ( 靑銅 晋率善濊伯長 印章 ),Seoul Yongsan-gu,,,,,,,
904,Treasure,"Daeungjeon Hall of Hwanseongsa Temple, Gyeongsan",경산 환성사 대웅전 ( 慶山 環城寺 大雄殿 ),Gyeongsangbuk-do Gyeongsan-si,,,,,,,
905,Treasure,"Arched Bridge of Heungguksa Temple, Yeosu",여수 흥국사 홍교 ( 麗水 興國寺 虹橋 ),Jeollanam-do Yeosu-si,,,,,,,
906,Treasure,"Mannyeongyo Bridge in Yeongsan, Changnyeong",창녕 영산 만년교 ( 昌寧 靈山 萬年橋 ),Gyeongsangnam-do Changnyeong-gun,,,,,,,
907,Treasure,"Stone Seated Vairocana Buddha of Simboksa Temple, Pyeongtaek",평택 심복사 석조비로자나불좌상 ( 平澤 深福寺 石造毘盧遮那佛坐像 ),Gyeonggi-do Pyeongtaek-si,,,,,,,
908,Treasure,Portrait of Yu Geun,유근 초상 ( 柳根 肖像 ),Chungcheongbuk-do Goesan-gun,,,,,,,
909,Treasure,"Iron Seated Buddha of Mangisa Temple, Pyeongtaek",평택 만기사 철조여래좌상 ( 平澤 萬奇寺 鐵造如來坐像 ),Gyeonggi-do Pyeongtaek-si,,,,,,,
910,Treasure,Artifacts Used by Yun Bong-gil,윤봉길의사 유품(1972-1) ( 尹奉吉義士 遺品(1972-1) ),Seoul Yongsan-gu,,,,,,,
911,Treasure,Artifacts Used by Yun Bong-gil,윤봉길의사 유품(1972-2) ( 尹奉吉義士 遺品(1972-2) ),Chungcheongnam-do Yesan-gun,,,,,,,
912,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 백인당중유태화 ( 安重根義士 遺墨 - 百忍堂中有泰和 ),Seoul Gangnam-gu,,,,,,,
913,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 일일부독서구중생형극 ( 安重根義士 遺墨 - 一日不讀書口中生荊棘 ),Seoul Jung-gu,,,,,,,
914,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 연년세세화상사세세연년인부동 ( 安重根義士 遺墨 - 年年歲歲花相似歲歲年年人不同 ),Seoul Yongsan-gu,,,,,,,
915,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 치악의악식자부족여의 ( 安重根義士 遺墨 - 恥惡衣惡食者不足與議 ),Seoul Jongno-gu,,,,,,,
916,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 동양대세사묘현유지남아기안면화국미성유강계정략부개진가련 ( 安重根義士 遺墨 - 東洋大勢思杳玄有志男兒豈安眠和局未成猶慷慨政略不改眞可憐 ),Seoul Dongjak-gu,,,,,,,
917,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 견리사의견위수명 ( 安重根義士 遺墨 - 見利思義見危授命 ),Busan Seo-gu,,,,,,,
918,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 용공난용연포기재 ( 安重根義士 遺墨 - 庸工難用連抱奇材 ),Seoul Yongsan-gu,,,,,,,
919,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 인무원려난성대업 ( 安重根義士 遺墨 - 人無遠慮難成大業 ),Seoul Dongjak-gu,,,,,,,
920,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 오노봉위필삼상작연지청천일장지사아복중시 ( 安重根義士 遺墨 - 五老峰爲筆三湘作硯池靑天一丈紙寫我腹中詩 ),Seoul Mapo-gu,,,,,,,
921,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 세한연후지송백지부조 ( 安重根義士 遺墨 - 歲寒然後知松栢之不彫 ),Gyeonggi-do Paju-si,,,,,,,
922,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 사군천리망안욕천이표촌성행물부정 ( 安重根義士 遺墨 - 思君千里望眼欲穿以表寸誠幸勿負情 ),Chungcheongnam-do Cheonan-si,,,,,,,
923,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 장부수사심여철의사임위기사운 ( 安重根義士 遺墨 - 丈夫雖死心如鐵義士臨危氣似雲 ),Seoul Dongjak-gu,,,,,,,
924,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 박학어문약지이례 ( 安重根義士 遺墨 - 博學於文約之以禮 ),Gyeonggi-do Paju-si,,,,,,,
925,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 제일강산 ( 安重根義士 遺墨 - 第一江山 ),Seoul Dongjak-gu,,,,,,,
926,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 청초당 ( 安重根義士 遺墨 - 靑草塘 ),Gyeongsangnam-do Changwon-si,,,,,,,
927,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 고막고어자시 ( 安重根義士 遺墨 - 孤莫孤於自恃 ),Busan Dong-gu,,,,,,,
928,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 인지당 ( 安重根義士 遺墨 - 仁智堂 ),Seoul Yongsan-gu,,,,,,,
929,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 인내 ( 安重根義士 遺墨 - 忍耐 ),Seoul Gwangjin-gu,,,,,,,
930,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 극락 ( 安重根義士 遺墨 - 極樂 ),Gyeonggi-do Paju-si,,,,,,,
931,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 운재 ( 安重根義士 遺墨 - 雲齋 ),Gyeonggi-do Paju-si,,,,,,,
932,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 욕보동양선개정략시과실기추회하급 ( 安重根義士 遺墨 - 欲保東洋先改政略時過失機追悔何及 ),Gyeonggi-do Yongin-si,,,,,,,
933,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 국가안위노심초사 ( 安重根義士 遺墨 - 國家安危勞心焦思 ),Gyeonggi-do Paju-si,,,,,,,
934,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 위국헌신군인본분 ( 安重根義士 遺墨 - 爲國獻身軍人本分 ),Gyeonggi-do Paju-si,,,,,,,
935,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 천여불수반수기앙이 ( 安重根義士 遺墨 - 天與不受反受其殃耳 ),Jeju-do Jeju-si,,,,,,,
936,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 언충신행독경만방가행 ( 安重根義士 遺墨 - 言忠信行篤敬蠻邦可行 ),Gyeonggi-do Paju-si,,,,,,,
937,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 임적선진위장의무 ( 安重根義士 遺墨 - 臨敵先進爲將義務 ),Gyeongsangnam-do Changwon-si,,,,,,,
938,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 – 인무원려필유근우 ( 安重根義士 遺墨 - 人無遠慮必有近憂 ),Gyeonggi-do Guri-si,,,,,,,
939,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 – 일통청화공 ( 安重根義士 遺墨 - 日通淸話公 ),Gyeonggi-do Seongnam-si,,,,,,,
940,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 황금백만냥불여일교자 ( 安重根義士 遺墨 - 黃金百萬兩 不如一敎子 ),Gyeonggi-do Paju-si,,,,,,,
941,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 - 지사인인살신성인 ( 安重根義士遺墨 - 志士仁人殺身成仁 ),Gyeonggi-do Paju-si,,,,,,,
942,Treasure,Calligraphy by An Jung-geun,안중근의사 유묵 – 세심대 ( 安重根義士 遺墨 - 洗心臺 ),Seoul Yongsan-gu,,,,,,,
943,Treasure,"Artifacts Excavated from the Tombs, Goryeong (Presumed)",전 고령 일괄 유물 ( 傳 高靈 一括 遺物 ),Seoul Yongsan-gu,,,,,,,
944,Treasure,"Monument for the Naval Victories of Yi Sun-sin, Yeosu",여수 통제이공 수군대첩비 ( 麗水 統制李公 水軍大捷碑 ),Jeollanam-do Yeosu-si,,,,,,,
945,Treasure,"Documents of the Goryeo Dynasty in Songgwangsa Temple, Suncheon",순천 송광사 고려고문서 ( 順天 松廣寺 高麗古文書 ),Jeollanam-do Suncheon-si,,,,,,,
946,Treasure,Si cheongyeollok (Shallow Views on the Book of Poetry) and Seo cheongyeollok (Shallow Views on the Book of Documents),시천견록 및 서천견록 ( 詩淺見錄 및 書淺見錄 ),Seoul Seodaemun-gu,,,,,,,
947,Treasure,Haeseo amhaeng ilgi (Record of Secret Inspection in Hwanghae-do Province) by Bak Man-jeong,박만정 해서암행일기 ( 朴萬鼎 海西暗行日記 ),Busan Gijang-gun,,,,,,,
948,Treasure,"Wooden Amitabha Buddha Altarpiece and Related Documents of Daeseungsa Temple, Mungyeong",문경 대승사 목각아미타여래설법상 관계문서 ( 聞慶 大乘寺 木刻阿彌陀如來說法像 關係文書 ),Gyeongsangbuk-do Mungyeong-si,,,,,,,
949,Treasure,"Bronze Gong with Inscription of ""Bongeopsa Temple""",봉업사명 청동북 ( 奉業寺銘 靑銅金鼓 ),Seoul Seodaemun-gu,,,,,,,
950,Treasure,"Buncheong Basin-shaped Memorial Tablet with Inlaid Fish Design and Inscription of ""the Fifth Jeongtong Year""",분청사기 상감‘정통5년’명 어문 반형 묘지 ( 粉靑沙器 象嵌‘正統五年’銘 魚文 盤形 墓誌 ),Seoul Yongsan-gu,,,,,,,
951,Treasure,Hanging Scroll Behind the Buddha in Daeungjeon Hall of Heungguksa Temple,흥국사 대웅전 후불탱 ( 興國寺 大雄殿 後佛幀 ),Jeollanam-do Yeosu-si,,,,,,,
952,Treasure,"Stupa from Oesa-ri, Goesan",괴산 외사리 승탑 ( 槐山 外沙里 僧塔 ),Seoul Seongbuk-gu,,,,,,,
953,Treasure,"Five-story Stone Pagoda, Mungyeong",문경 오층석탑 ( 聞慶 五層石塔 ),Seoul Seongbuk-gu,,,,,,,
954,Treasure,"Rock-carved Seated Buddha at Golguram Hermitage, Gyeongju",경주 골굴암 마애여래좌상 ( 慶州 骨窟庵 磨崖如來坐像 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
955,Treasure,Printing Woodblocks of Worin seokbo (Episodes from the Life of Sakyamuni Buddha),월인석보 목판 ( 月印釋譜 木板 ),Chungcheongnam-do Gongju-si,,,,,,,
956,Treasure,"Pungpaejigwan Guesthouse, Jeonju",전주 풍패지관 ( 全州 豊沛之館 ),Jeollabuk-do Jeonju-si,,,,,,,
957,Treasure,"Stele of Yun Hyo-son, Gurye",구례 윤문효공 신도비 ( 求禮 尹文孝公 神道碑 ),Jeollanam-do Gurye-gun,,,,,,,
958,Treasure,Manuscript of Yi Hwang and Song Si-yeol,퇴우이선생진적 ( 退尤二先生眞蹟 ),Seoul Yongsan-gu,,,,,,,
959,Treasure,Manuscripts of Yi Eon-jeok,이언적 수고본 일괄 - 속대학혹문 ( 李彦迪 手稿本 一括 - 續大學或問 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
960,Treasure,Manuscripts of Yi Eon-jeok,이언적 수고본 일괄 ( 李彦迪 手稿本 一括 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
961,Treasure,Documents of Piramseowon Confucian Academy,필암서원 문적 일괄 ( 筆巖書院 文籍 一括 ),Gwangju Buk-gu,,,,,,,
962,Treasure,Portrait of Kang Min-cheom,강민첨 초상 ( 姜民瞻 肖像 ),Seoul Yongsan-gu,,,,,,,
963,Treasure,Portrait of Kang Hyeon,강현 초상 ( 姜鋧 肖像 ),Seoul Yongsan-gu,,,,,,,
964,Treasure,Portrait of Kang Se-hwang,강세황 초상 ( 姜世晃 肖像 ),Seoul Yongsan-gu,,,,,,,
965,Treasure,Printing Woodblocks of Seokssi wollyu eunghwa sajeok (Life and Activities of Sakyamuni Buddha Incarnate),석씨원류응화사적 목판 ( 釋氏源流應化事蹟 木板 ),Seoul Jongno-gu,,,,,,,
966,Treasure,Manuscript of Heo Mok,허목 수고본 ( 許穆 手稿本 ),Seoul Yongsan-gu,,,,,,,
967,Treasure,Calligraphy by Heo Mok,허목 전서 함취당 ( 許穆 篆書 含翠堂 ),Seoul Seongbuk-gu,,,,,,,
968,Treasure,Calligraphy by Heo Mok,허목 전서 애군우국 ( 許穆 篆書 愛君憂國 ),Busan Nam-gu,,,,,,,
969,Treasure,Calligraphy by Heo Mok,허목 전서 한간문 등 ( 許穆 篆書 汗柬文 等 ),Seoul Seongbuk-gu,,,,,,,
970,Treasure,Album of Buddhist Paintings by Yi Sang-jwa,이상좌 불화첩 ( 李上佐 佛畵帖 ),Seoul Yongsan-gu,,,,,,,
971,Treasure,Portrait of Choe Deok-ji and Sketch on Oil Paper,최덕지 초상 및 유지초본 ( 崔德之 肖像 및 油紙草本 ),Jeollanam-do Yeongam-gun,,,,,,,
972,Treasure,Folding Screen of Embroidered Chochungdo (Grass and Insects),자수 초충도 병풍 ( 刺繡 草蟲圖 屛風 ),Busan Seo-gu,,,,,,,
973,Treasure,Earthenware Bowl with Raised Pattern,토기 융기문 발 ( 土器 隆起文 鉢 ),Busan Seo-gu,,,,,,,
974,Treasure,Earthenware Horn Cups with Horse Head Decoration,도기 말머리장식 뿔잔 ( 陶器 馬頭飾 角杯 ),Busan Seo-gu,,,,,,,
975,Treasure,Ssangja Chongtong Gun,쌍자총통 ( 雙字銃筒 ),Busan Seo-gu,,,,,,,
976,Treasure,"Stone Seated Buddha at Yaksaam Hermitage, Gwangju",광주 약사암 석조여래좌상 ( 光州 藥師庵 石造如來坐像 ),Gwangju Dong-gu,,,,,,,
977,Treasure,"Stupa in Dohak-dong, Daegu",대구 도학동 승탑 ( 大邱 道鶴洞 僧塔 ),Daegu Dong-gu,,,,,,,
978,Treasure,Manuscript of Gyeongmong yogyeol (The Secret of Expelling Ignorance) by Yi I,이이 수고본 격몽요결 ( 李珥 手稿本 擊蒙要訣 ),Gangwon-do Gangneung-si,,,,,,,
979,Treasure,Munmujapgwa bangmok (Roster of Successful State Examination Candidates),문무잡과 방목 ( 文武雜科 榜目 ),Gangwon-do Gangneung-si,,,,,,,
980,Treasure,Royal Certificate of Meritorious Subject Issued to Jang Mal-son,장말손 적개공신교서 ( 張末孫 敵愾功臣敎書 ),Gyeongsangbuk-do Yeongju-si,,,,,,,
981,Treasure,"Petroglyphs of Janggi-ri, Goryeong",고령 장기리 암각화 ( 高靈 場基里 岩刻畫 ),Gyeongsangbuk-do Goryeong-gun,,,,,,,
982,Treasure,"East and West Three-story Stone Pagodas from Docheonsa Temple Site, Mungyeong",문경 도천사지 동·서 삼층석탑 ( 聞慶 道川寺址 東·西 三層石塔 ),Gyeongsangbuk-do Gimcheon-si,,,,,,,
983,Treasure,"Three-story Stone Pagoda from Docheonsa Temple Site, Mungyeong",문경 도천사지 삼층석탑 ( 聞慶 道川寺址 三層石塔 ),Gyeongsangbuk-do Gimcheon-si,,,,,,,
984,Treasure,"Bogwangmyeongjeon Hall of Wibongsa Temple, Wanju",완주 위봉사 보광명전 ( 完州 威鳳寺 普光明殿 ),Jeollabuk-do Wanju-gun,,,,,,,
985,Treasure,"Three-story Stone Pagoda in Hwacheon-ri, Yeongyang",영양 화천리 삼층석탑 ( 英陽 化川里 三層石塔 ),Gyeongsangbuk-do Yeongyang-gun,,,,,,,
986,Treasure,"Three-story Stone Pagoda in Hyeon-ri, Yeongyang",영양 현리 삼층석탑 ( 英陽 縣里 三層石塔 ),Gyeongsangbuk-do Yeongyang-gun,,,,,,,
987,Treasure,"Stele of State Preceptor Wonjeung at Taegosa Temple, Goyang",고양 태고사 원증국사탑비 ( 高陽 太古寺 圓證國師塔碑 ),Gyeonggi-do Goyang-si,,,,,,,
988,Treasure,"Stele of Buddhist Monk Jinghyo at Heungnyeongsa Temple Site, Yeongwol",영월 흥녕사지 징효대사탑비 ( 寧越 興寧寺址 澄曉大師塔碑 ),Gangwon-do Yeongwol-gun,,,,,,,
989,Treasure,Portrait of Sin Suk-ju,신숙주 초상 ( 申叔舟 肖像 ),Chungcheongbuk-do Cheongju-si,,,,,,,
990,Treasure,"Monument for the Incense Burial Ceremony in Heungsa-ri, Sacheon",사천 흥사리 매향비 ( 泗川 興士里 埋香碑 ),Gyeongsangnam-do Sacheon-si,,,,,,,
991,Treasure,"Stone Standing Buddha in Jangjeong-ri, Ganghwa",강화 장정리 석조여래입상 ( 江華 長井里 石造如來立像 ),Incheon Ganghwa-gun,,,,,,,
992,Treasure,Daeseongjeon Shrine of Yeongcheonhyanggyo Local Confucian School,영천향교 대성전 ( 永川鄕校 大成殿 ),Gyeongsangbuk-do Yeongcheon-si,,,,,,,
993,Treasure,Gold Diadem Ornament from Cheonmachong Tomb,천마총 금제 관식(1978-1) ( 天馬塚 金製 冠飾(1978-1) ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
994,Treasure,Gold Diadem Ornament from Cheonmachong Tomb,천마총 금제 관식(1978-2) ( 天馬塚 金製 冠飾(1978-2) ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
995,Treasure,Necklace from Cheonmachong Tomb,천마총 목걸이 ( 天馬塚 頸胸飾 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
996,Treasure,Glass Cup from Cheonmachong Tomb,천마총 유리잔 ( 天馬塚 琉璃盞 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
997,Treasure,Sword with Ring Pommel from Cheonmachong Tomb,천마총 환두대도 ( 天馬塚 環頭大刀 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
998,Treasure,Three-legged Cauldron with a Handle from Cheonmachong Tomb,천마총 자루솥 ( 天馬塚 鐎斗 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
999,Treasure,Gold Bracelets and Rings from the North Mound of Hwangnamdaechong Tomb,황남대총 북분 금팔찌 및 금반지 ( 皇南大塚 北墳 金製 釧 및 金製 指環 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1000,Treasure,Glass Cup from the North Mound of Hwangnamdaechong Tomb,황남대총 북분 유리잔 ( 皇南大塚 北墳 琉璃盞 ),Seoul Yongsan-gu,,,,,,,
1001,Treasure,Silver Diadem Ornament from the North Mound of Hwangnamdaechong Tomb,황남대총 북분 은제 관식 ( 皇南大塚 北墳 銀製 冠飾 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1002,Treasure,Gold High-footed Cup from the North Mound of Hwangnamdaechong Tomb,황남대총 북분 금제 고배 ( 皇南大塚 北墳 金製 高杯 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1003,Treasure,Silver Cup from the North Mound of Hwangnamdaechong Tomb,황남대총 북분 은잔 ( 皇南大塚 北墳 銀盞 ),Seoul Yongsan-gu,,,,,,,
1004,Treasure,Gold and Silver Bowls from the North Mound of Hwangnamdaechong Tomb,황남대총 북분 금은제 그릇 일괄 ( 皇南大塚 北墳 金銀器 一括 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1005,Treasure,Gold Waist Belt from the South Mound of Hwangnamdaechong Tomb,황남대총 남분 금제 허리띠 ( 皇南大塚 南墳 金製 銙帶 ),Seoul Yongsan-gu,,,,,,,
1006,Treasure,Gold Diadem Ornament from the South Mound of Hwangnamdaechong Tomb,황남대총 남분 금제 관식 ( 皇南大塚 南墳 金製 冠飾 ),Seoul Yongsan-gu,,,,,,,
1007,Treasure,Silver Crown from the South Mound of Hwangnamdaechong Tomb,황남대총 남분 은관 ( 皇南大塚 南墳 銀冠 ),Seoul Yongsan-gu,,,,,,,
1008,Treasure,Silver Arm Guards from the South Mound of Hwangnamdaechong Tomb,황남대총 남분 은제 팔뚝가리개 ( 皇南大塚 南墳 銀製 肱甲 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1009,Treasure,"Gold Pendants from Hwangnam-dong, Gyeongju",경주 황남동 금제 드리개 ( 慶州 皇南洞 金製 垂飾 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1010,Treasure,"Glass Beads with Inlaid Design from Hwangnam-dong, Gyeongju",경주 황남동 상감 유리구슬 ( 慶州 皇南洞 象嵌 琉璃玉 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1011,Treasure,"Ornamented Dagger from Gyerim-ro, Gyeongju",경주 계림로 보검 ( 慶州 鷄林路 寶劍 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1012,Treasure,Earthenware Funerary Object in the Shape of an Auspicious Animal,도기 서수형 명기 ( 陶器 瑞獸形 明器 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
1013,Treasure,Earthenware Horn Cup with Wagon Wheel Decoration,도기 바퀴장식 뿔잔 ( 陶器 車輪飾 角杯 ),Gyeongsangnam-do Jinju-si,,,,,,,
1014,Treasure,Gisa gyecheop (Album of Paintings of the Gathering of Elders),기사계첩 ( 耆社契帖 ),Seoul Seodaemun-gu,,,,,,,
1015,Treasure,Incheon anmok (Vision of Five Supreme Patriarchs),인천안목(1978) ( 人天眼目(1978) ),Seoul Seodaemun-gu,,,,,,,
1016,Treasure,Seonjong yeonggajip (Essence of Zen Buddhism),선종영가집(1978) ( 禪宗永嘉集(1978) ),Seoul Seodaemun-gu,,,,,,,
1017,Treasure,Stone Fragments from Pyeongyangseong City Wall of Goguryeo,고구려 평양성 석편 ( 高句麗 平壤城 石片 ),Seoul Seodaemun-gu,,,,,,,
1018,Treasure,Gilt-bronze Pensive Maitreya Bodhisattva,금동미륵보살반가사유상(1978) ( 金銅彌勒菩薩半跏思惟像(1978) ),Seoul Yongsan-gu,,,,,,,
1019,Treasure,"White Porcelain Jar with Pine, Bamboo, and Human Figure Design in Underglaze Cobalt Blue",백자 청화송죽인물문 항아리 ( 白磁 靑畵松竹人物文 立壺 ),Seoul Seodaemun-gu,,,,,,,
1020,Treasure,White Porcelain Jar with Cloud and Dragon Design in Underglaze Iron,백자 철화운룡문 항아리 ( 白磁 鐵畵雲龍文 立壺 ),Seoul Seodaemun-gu,,,,,,,
1021,Treasure,"Celadon Lidded Bowl with Inlaid Inscription of ""Sangyakguk (Bureau of Medicine)"" and Incised Cloud and Dragon Design",청자 상감‘상약국’명 음각운룡문 합 ( 靑磁 象嵌‘尙藥局’銘 陰刻雲龍文 盒 ),Chungcheongbuk-do Eumseong-gun,,,,,,,
1022,Treasure,Cheonja Chongtong Gun,천자총통 ( 天字銃筒 ),Gyeongsangnam-do Jinju-si,,,,,,,
1023,Treasure,Seungja Chongtong Gun,승자총통 ( 勝字銃筒 ),Seoul Yongsan-gu,,,,,,,
1024,Treasure,"Buddhist Stele with Inscription of ""Muin Year"" and Pedestal at Yeonhwasa Temple, Sejong",세종시 연화사 무인명불비상 및 대좌 ( 世宗市 蓮花寺 戊寅銘佛碑像 및 臺座 ),Sejong The Wide area of sejong,,,,,,,
1025,Treasure,"Buddhist Stele of Seven Buddhas of Yeonhwasa Temple, Sejong",세종시 연화사 칠존불비상 ( 世宗市 蓮花寺 七尊佛碑像 ),Sejong The Wide area of sejong,,,,,,,
1026,Treasure,Documents of the Yeonan Yi Clan,연안이씨 종중 문적 ( 延安李氏 宗中 文籍 ),Gyeongsangnam-do Gimhae-si,,,,,,,
1027,Treasure,Folding Screen of Embroidered Sagye bungyeongdo (Potted Plants During the Four Seasons),자수 사계분경도 ( 刺繡 四季盆景圖 ),Seoul Jongno-gu,,,,,,,
1028,Treasure,Embroidered Monk’s Outer Vestment,자수가사 ( 刺繡袈裟 ),Seoul Jongno-gu,,,,,,,
