QuestionId,Name of Cultural Heritage,Question,Answer,AvgScore
0073428,"Gilt-bronze Standing Buddha Triad with Inscription of ""Gyemi Year""",What is inscribed on this heritage?,"""Gyemi Year""",86.67
0073429,"Gilt-bronze Standing Buddha Triad with Inscription of ""Gyemi Year""",Who is believed to have created this heritage?,Unknown,60.0
0073430,"Gilt-bronze Standing Buddha Triad with Inscription of ""Gyemi Year""",What is the significance of the inscription on this heritage?,It provides historical context.,80.0
0074434,Portable Shrine of Gilt-bronze Buddha Triad,Who is credited with creating the Portable Shrine of Gilt-bronze Buddha Triad?,Unknown,73.33
0074435,Portable Shrine of Gilt-bronze Buddha Triad,What is the significance of the Portable Shrine of Gilt-bronze Buddha Triad in Korean heritage?,Important religious artifact,80.0
0074436,Portable Shrine of Gilt-bronze Buddha Triad,Where is the Portable Shrine of Gilt-bronze Buddha Triad currently located?,National Museum of Korea,80.0
0075440,Celadon Duck-shaped Water Dropper,Who is credited with inventing the celadon glaze?,Chinese,46.67
0075441,Celadon Duck-shaped Water Dropper,What dynasty is known for producing celadon ceramics in Korea?,Goryeo dynasty,70.0
0075442,Celadon Duck-shaped Water Dropper,What was the purpose of celadon water droppers during the Goryeo dynasty?,Used in ritual ceremonies,60.0
0076446,Bronze Incense Burner with Silver-inlaid Design of Pyochungsa Temple,What is the name of the temple depicted in the silver-inlaid design?,Pyochungsa Temple,91.67
0076447,Bronze Incense Burner with Silver-inlaid Design of Pyochungsa Temple,What is the purpose of this heritage?,Incense burning,66.67
0076448,Bronze Incense Burner with Silver-inlaid Design of Pyochungsa Temple,Who created the silver-inlaid design on this heritage?,Unknown,80.0
0077452,Nanjung ilgi (War Diary),Who authored the 'Nanjung ilgi (War Diary)'?,Yi Sun-sin,95.0
0077453,Nanjung ilgi (War Diary),In what language is the 'Nanjung ilgi (War Diary)' written?,Korean,83.33
0077454,Nanjung ilgi (War Diary),What period does the 'Nanjung ilgi (War Diary)' cover?,Japanese invasions of Korea (1592-1598),90.0
0078458,Five-story Stone Pagoda in Tamni-ri,Who built the Five-story Stone Pagoda in Tamni-ri?,Unknown,73.33
0078459,Five-story Stone Pagoda in Tamni-ri,What is the significance of the Five-story Stone Pagoda in Tamni-ri?,It is a cultural heritage site in South Korea.,66.67
0079463,Gilt-bronze Pensive Maitreya Bodhisattva(1962-1),Who is the figure represented in this heritage?,Maitreya Bodhisattva,80.0
0079464,Gilt-bronze Pensive Maitreya Bodhisattva(1962-1),When was this heritage created?,1962,46.67
0079465,Gilt-bronze Pensive Maitreya Bodhisattva(1962-1),Who is believed to have originally commissioned this heritage?,King Sejo,50.0
0080469,Gold Seated Buddha from Guhwang-dong,Where was the Gold Seated Buddha from Guhwang-dong discovered?,South Korea,73.33
0080470,Gold Seated Buddha from Guhwang-dong,Who is believed to have made the Gold Seated Buddha?,Unknown,60.0
0080471,Gold Seated Buddha from Guhwang-dong,What is the significance of the Gold Seated Buddha in Korean cultural heritage?,Important Buddhist artifact,66.67
0081475,Gold Standing Buddha from Guhwang-dong,Where was the Gold Standing Buddha from Guhwang-dong discovered?,Korea,53.33
0081476,Gold Standing Buddha from Guhwang-dong,Who was responsible for bringing the Gold Standing Buddha from Guhwang-dong to Japan?,Yi Hwang,43.33
0081477,Gold Standing Buddha from Guhwang-dong,What is the significance of the Gold Standing Buddha from Guhwang-dong in Korean art history?,Influential,80.0
0082481,Stone Standing Maitreya Bodhisattva of Gamsansa Temple,Who is depicted in the stone standing statue at Gamsansa Temple?,Maitreya Bodhisattva,83.33
0082482,Stone Standing Maitreya Bodhisattva of Gamsansa Temple,What is the significance of the stele inscription by Choe Chi-won at Gamsansa Temple?,Praising the Buddha,60.0
0082483,Stone Standing Maitreya Bodhisattva of Gamsansa Temple,What is the architectural style of Gamsansa Temple?,Korean Buddhist architecture,53.33
0083487,Stone Standing Amitabha Buddha of Gamsansa Temple,Who was the stone statue of Amitabha Buddha dedicated to?,King Munseong,63.33
0083488,Stone Standing Amitabha Buddha of Gamsansa Temple,What is the significance of the Gamsansa Temple in Korean history?,It was a center for the propagation of the Buddhist faith.,53.33
0084492,Gilt-bronze Pensive Maitreya Bodhisattva,Who is depicted in the heritage?,Maitreya Bodhisattva,83.33
0084493,Gilt-bronze Pensive Maitreya Bodhisattva,What is the significance of the pensive pose in Buddhist iconography?,Reflecting on the suffering of sentient beings,63.33
0084494,Gilt-bronze Pensive Maitreya Bodhisattva,What is the approximate height of this heritage?,8 inches,46.67
0085498,Rock-carved Buddha Triad in Yonghyeon-ri,Who is credited with creating the Rock-carved Buddha Triad in Yonghyeon-ri?,Unknown,80.0
0085499,Rock-carved Buddha Triad in Yonghyeon-ri,What is the significance of the inscription on the stele in this heritage?,Historical information,63.33
0085500,Rock-carved Buddha Triad in Yonghyeon-ri,What is the current condition of the Godalsa Temple in Yonghyeon-ri?,Ruins,53.33
0086504,"Gilt-bronze Standing Buddha Triad with Inscription of ""Sinmyo Year""",Who is credited with creating the inscription on this heritage?,Choe Chi-won,81.67
0086505,"Gilt-bronze Standing Buddha Triad with Inscription of ""Sinmyo Year""",What year is associated with the inscription on this heritage?,Sinmyo Year,90.0
0086506,"Gilt-bronze Standing Buddha Triad with Inscription of ""Sinmyo Year""",What is the significance of the Sinmyo Year inscription on this heritage?,It provides historical context for dating.,90.0
0087510,Ten-story Stone Pagoda from Gyeongcheonsa Temple Site,What is the name of the temple site where this heritage is located?,Gyeongcheonsa,90.0
0087511,Ten-story Stone Pagoda from Gyeongcheonsa Temple Site,Who was responsible for the construction of the Godalsa Temple?,Choe Chi-won,36.67
0087512,Ten-story Stone Pagoda from Gyeongcheonsa Temple Site,What is the significance of the ten-story stone pagoda from Gyeongcheonsa Temple Site?,It is a valuable cultural heritage representing ancient Korean architecture.,76.67
0088516,Gold Crown and Diadem Ornaments from Geumgwanchong Tomb,Where was the Gold Crown and Diadem Ornaments found?,Geumgwanchong Tomb,83.33
0088517,Gold Crown and Diadem Ornaments from Geumgwanchong Tomb,What was the purpose of the Gold Crown and Diadem Ornaments?,To adorn the deceased in the afterlife,85.0
0088518,Gold Crown and Diadem Ornaments from Geumgwanchong Tomb,Who was buried in the Geumgwanchong Tomb?,A noble person from the Silla Kingdom,76.67
0089522,Gold Waist Belt from Geumgwanchong Tomb,What is the name of the tomb where this gold waist belt was found?,Geumgwanchong Tomb,90.0
0089523,Gold Waist Belt from Geumgwanchong Tomb,What is the significance of the Geumgwanchong Tomb in Korean history?,Royal tomb of the Silla Kingdom,76.67
0089524,Gold Waist Belt from Geumgwanchong Tomb,Who was buried with the gold waist belt in the Geumgwanchong Tomb?,A noblewoman,90.0
0090528,Gold Buckle from Seogam-ri,Where was the Gold Buckle from Seogam-ri discovered?,Gyeongju,80.0
0090529,Gold Buckle from Seogam-ri,What is the significance of the Gold Buckle from Seogam-ri in Korean history?,It represents the Silla culture and craftsmanship.,80.0
0090530,Gold Buckle from Seogam-ri,Who was the buckle likely made for?,A noble or royalty.,73.33
0091534,Gold Earrings from Bubuchong Tomb,Where were these gold earrings found?,Bubuchong Tomb,83.33
0091535,Gold Earrings from Bubuchong Tomb,What is the significance of gold earrings in the context of this heritage?,Symbol of wealth and status,66.67
0091536,Gold Earrings from Bubuchong Tomb,Who was buried in the Bubuchong Tomb where these earrings were discovered?,A noblewoman,85.0
0092540,Earthenware Funerary Objects in the Shape of a Warrior on Horseback,What is the function of these earthenware funerary objects?,Burial goods,76.67
0092541,Earthenware Funerary Objects in the Shape of a Warrior on Horseback,In what culture or society were these funerary objects commonly used?,Ancient Chinese,66.67
0092542,Earthenware Funerary Objects in the Shape of a Warrior on Horseback,What time period did these earthenware funerary objects originate from?,Ancient times,70.0
0093546,Bronze Kundika with Silver-inlaid Willow and Waterfowl Design,What is the name of the heritage with the Bronze Kundika with Silver-inlaid Willow and Waterfowl Design?,Bronze Kundika,43.33
0093547,Bronze Kundika with Silver-inlaid Willow and Waterfowl Design,What is the significance of the Kundika in Korean culture?,Ritual vessel,63.33
0093548,Bronze Kundika with Silver-inlaid Willow and Waterfowl Design,Who likely used this Bronze Kundika in ancient Korea?,Buddhist monks,81.67
0094552,White Porcelain Jar with Grape and Monkey Design in Underglaze Iron,What material is this heritage made of?,Porcelain,60.0
0094553,White Porcelain Jar with Grape and Monkey Design in Underglaze Iron,What is the significance of the grape and monkey design on this heritage?,Symbolic representation,81.67
0094554,White Porcelain Jar with Grape and Monkey Design in Underglaze Iron,How is the design on this heritage created?,In underglaze iron,80.0
0095558,Celadon Melon-shaped Bottle,What type of ceramic is this Celadon Melon-shaped Bottle made of?,Porcelain,73.33
0095559,Celadon Melon-shaped Bottle,In which country is Celadon pottery traditionally associated with?,Korea,66.67
0095560,Celadon Melon-shaped Bottle,What was the purpose of Celadon pottery during the Goryeo Dynasty?,Used for royal and ceremonial purposes.,70.0
0096564,Celadon Incense Burner with Openwork Auspicious-character Design Lid,What is the lid of this heritage decorated with?,Auspicious characters,81.67
0096565,Celadon Incense Burner with Openwork Auspicious-character Design Lid,What type of burner is this heritage?,Incense,60.0
0096566,Celadon Incense Burner with Openwork Auspicious-character Design Lid,What is the significance of the celadon material used in this heritage?,Highly valued for its color and texture,66.67
0097570,Celadon Ewer in the Shape of a Turtle-dragon,Who is credited with popularizing the use of celadon ceramics during the Goryeo Dynasty?,Emperor Injong,53.33
0097571,Celadon Ewer in the Shape of a Turtle-dragon,In what country was celadon pottery first developed?,China,50.0
0097572,Celadon Ewer in the Shape of a Turtle-dragon,What is the significance of the turtle-dragon in Korean culture?,Symbolizes longevity and strength,66.67
0098576,Celadon Prunus Vase with Incised Lotus and Scroll Design,What type of vase is this heritage?,Celadon,56.67
0098577,Celadon Prunus Vase with Incised Lotus and Scroll Design,What is the decorative technique used on this heritage?,Incised,83.33
0098578,Celadon Prunus Vase with Incised Lotus and Scroll Design,What does the design of lotus symbolize in this heritage?,Purity and enlightenment,66.67
0099582,Celadon Jar with Inlaid Peony Design,What type of ceramic is this heritage made of?,Celadon,76.67
0099583,Celadon Jar with Inlaid Peony Design,What flower motif is depicted on this heritage?,Peony,86.67
0099584,Celadon Jar with Inlaid Peony Design,What culture or region is known for producing this type of heritage?,Korean,73.33
0100588,East and West Three-story Stone Pagodas from Galhangsa Temple Site,Where is the Galhangsa Temple Site located?,Korea,53.33
0100589,East and West Three-story Stone Pagodas from Galhangsa Temple Site,What is the significance of Choe Chi-won in relation to this heritage?,Composed the inscription,85.0
0100590,East and West Three-story Stone Pagodas from Galhangsa Temple Site,How tall are the Three-story Stone Pagodas from Galhangsa Temple Site?,5.5 meters,76.67
0101594,Seven-story Stone Pagoda from Namgyewon Temple Site,What is the name of the temple site where this seven-story stone pagoda is from?,Namgyewon Temple Site,86.67
0101595,Seven-story Stone Pagoda from Namgyewon Temple Site,Who is believed to have built this seven-story stone pagoda?,Unified Silla Kingdom,80.0
0101596,Seven-story Stone Pagoda from Namgyewon Temple Site,What is the significance of the inscription on the stele found at the site of this heritage?,Historical and cultural significance,63.33
0102600,Stupa of State Preceptor Jigwang from Beopcheonsa Temple Site,Who is the Stupa dedicated to?,State Preceptor Jigwang,91.67
0102601,Stupa of State Preceptor Jigwang from Beopcheonsa Temple Site,What is the name of the temple site where this Stupa is located?,Beopcheonsa Temple Site,83.33
0102602,Stupa of State Preceptor Jigwang from Beopcheonsa Temple Site,What is the significance of the inscription on the stele?,It provides historical information.,63.33
0103606,Stupa of State Preceptor Hongbeop from Jeongtosa Temple Site,Who was the State Preceptor associated with this Stupa?,Hongbeop,91.67
0103607,Stupa of State Preceptor Hongbeop from Jeongtosa Temple Site,Where is the Jeongtosa Temple Site located?,Unknown,60.0
0104611,Twin Lion Stone Lantern of Jungheungsanseong Fortress,Who built the Jungheungsanseong Fortress?,King Injo,66.67
0104612,Twin Lion Stone Lantern of Jungheungsanseong Fortress,What is the significance of the Twin Lion Stone Lantern in Korean cultural heritage?,Symbol of protection and guidance,73.33
0104613,Twin Lion Stone Lantern of Jungheungsanseong Fortress,What is the height of the Twin Lion Stone Lantern?,2.7 meters,73.33
0105617,Stupa of Buddhist Monk Yeomgeo from Heungbeopsa Temple Site,Who was the Buddhist monk associated with this stupa?,Yeomgeo,91.67
0105618,Stupa of Buddhist Monk Yeomgeo from Heungbeopsa Temple Site,Where is the Heungbeopsa Temple Site located?,South Korea,60.0
0105619,Stupa of Buddhist Monk Yeomgeo from Heungbeopsa Temple Site,What is the significance of the inscription on the stele?,Honoring the monk Yeomgeo.,85.0
0106623,Three-story Stone Pagoda in Beomhak-ri,Who is believed to have built the Three-story Stone Pagoda in Beomhak-ri?,Ven. Uisang,85.0
0106624,Three-story Stone Pagoda in Beomhak-ri,What is the significance of the Three-story Stone Pagoda in Beomhak-ri in Korean history?,It is an important cultural heritage site.,66.67
0106625,Three-story Stone Pagoda in Beomhak-ri,What is the approximate height of the Three-story Stone Pagoda in Beomhak-ri?,8.1 meters,76.67
0107629,"Buddhist Stele of Amitabha with Inscription of ""Gyeyu Year""",What is the title of the inscription on the stele?,"""Gyeyu Year""",91.67
0107630,"Buddhist Stele of Amitabha with Inscription of ""Gyeyu Year""",Who is the figure depicted on the stele?,Amitabha,88.33
0107631,"Buddhist Stele of Amitabha with Inscription of ""Gyeyu Year""",What does the inscription on the stele signify?,It commemorates the completion of the main hall of Godalsa Temple.,85.0
0108635,White Porcelain Jar with Grape Design in Underglaze Iron,What type of design is depicted on the White Porcelain Jar with Grape Design in Underglaze Iron?,Grape,83.33
0108636,White Porcelain Jar with Grape Design in Underglaze Iron,What technique was used to create the design on this heritage?,Underglaze Iron,81.67
0108637,White Porcelain Jar with Grape Design in Underglaze Iron,What is the significance of the grape design in Korean culture?,Symbol of abundance and prosperity,66.67
0109641,"Buddhist Stele of Buddha Triad and a Thousand Buddhas with Inscription of ""Gyeyu Year""","Who is credited with creating the ""Gyeyu Year"" inscription on the stele?",Choe Chi-won,90.0
0109642,"Buddhist Stele of Buddha Triad and a Thousand Buddhas with Inscription of ""Gyeyu Year""","What is the significance of the ""Gyeyu Year"" inscription on this heritage?",It marks the completion of construction,85.0
0109643,"Buddhist Stele of Buddha Triad and a Thousand Buddhas with Inscription of ""Gyeyu Year""","What does the term ""Triad"" refer to in the title of this heritage?",Three main figures,73.33
0110647,Grotto of Amitabha Buddha Triad,Who is credited with the creation of the Grotto of Amitabha Buddha Triad?,Korean monk Myo Cheong,85.0
0110648,Grotto of Amitabha Buddha Triad,What is the significance of the Grotto of Amitabha Buddha Triad in Korean Buddhist art?,Represents the spread of Buddhism to Korea,63.33
0110649,Grotto of Amitabha Buddha Triad,What is the name of the stele that contains an inscription about the Grotto of Amitabha Buddha Triad?,Godalsa Temple Stele,85.0
0111653,Portrait of Yi Je-hyeon,Who is the subject of the portrait of Yi Je-hyeon?,Yi Je-hyeon,83.33
0111654,Portrait of Yi Je-hyeon,What is the significance of Yi Je-hyeon in Korean history?,Confucian scholar,66.67
0111655,Portrait of Yi Je-hyeon,Who is the artist responsible for creating this portrait?,Kim Hong-do,80.0
0112659,Portrait of An Hyang,Who is the figure depicted in the portrait?,An Hyang,90.0
0112660,Portrait of An Hyang,What is the name of the temple where this portrait is located?,Godalsa Temple,80.0
0112661,Portrait of An Hyang,What is the significance of An Hyang in Korean history?,Scholar and Buddhist monk,53.33
0113665,East and West Three-story Stone Pagodas at Gameunsa Temple Site,Where is the Gameunsa Temple Site located?,Unknown,80.0
0113666,East and West Three-story Stone Pagodas at Gameunsa Temple Site,What is the significance of the East and West Three-story Stone Pagodas at Gameunsa Temple Site?,Unknown,90.0
0113667,East and West Three-story Stone Pagodas at Gameunsa Temple Site,Who discovered the Gameunsa Temple Site?,Unknown,53.33
0114671,Celadon Tube-shaped Bottle with Willow Design in Underglaze Iron,What material is this heritage made of?,Porcelain,63.33
0114672,Celadon Tube-shaped Bottle with Willow Design in Underglaze Iron,What is the name of the technique used to create the design on this heritage?,Underglaze Iron,81.67
0114673,Celadon Tube-shaped Bottle with Willow Design in Underglaze Iron,What is the shape of this heritage?,Tube-shaped,73.33
0115677,Celadon Melon-shaped Bottle with Inlaid Peony and Chrysanthemum Design,What type of flowers are inlaid on this heritage?,Peony and chrysanthemum,86.67
0115678,Celadon Melon-shaped Bottle with Inlaid Peony and Chrysanthemum Design,What type of design is featured on the Celadon Melon-shaped Bottle?,Inlaid design,73.33
0115679,Celadon Melon-shaped Bottle with Inlaid Peony and Chrysanthemum Design,What is the significance of peony and chrysanthemum in Korean culture?,Symbolize wealth and nobility,66.67
0116683,Celadon Bowl with Inlaid Scroll Design,What type of ceramic ware is this heritage made of?,Celadon,83.33
0116684,Celadon Bowl with Inlaid Scroll Design,What technique was used to create the design on this heritage?,Inlay,81.67
0116685,Celadon Bowl with Inlaid Scroll Design,What period is typically associated with the production of Celadon ware in Korea?,Goryeo period,70.0
0117689,Celadon Gourd-shaped Ewer with Inlaid Peony Design,What is the theme of the peony design on this heritage?,Wealth and honor,80.0
0117690,Celadon Gourd-shaped Ewer with Inlaid Peony Design,In what region was celadon pottery traditionally produced?,Korea,56.67
0117691,Celadon Gourd-shaped Ewer with Inlaid Peony Design,What was the significance of peony flowers in Korean culture during the Goryeo period?,It symbolized wealth and honor.,66.67
0118695,Iron Seated Vairocana Buddha of Borimsa Temple,Who is believed to have sculpted the Iron Seated Vairocana Buddha of Borimsa Temple?,Yeongi,85.0
0118696,Iron Seated Vairocana Buddha of Borimsa Temple,What is the significance of Vairocana Buddha in Buddhism?,Representing the cosmic Buddha and the essence of all things.,53.33
0118697,Iron Seated Vairocana Buddha of Borimsa Temple,What is the historical importance of the Borimsa Temple in Korea?,"Associated with Choe Chi-won, a prominent figure in Korean history.",53.33
0119701,Gilt-bronze Pensive Maitreya Bodhisattva,Who is the figure represented by this heritage?,Maitreya Bodhisattva,80.0
0119702,Gilt-bronze Pensive Maitreya Bodhisattva,Where was this heritage discovered?,Godalsa Temple site,85.0
0119703,Gilt-bronze Pensive Maitreya Bodhisattva,What is the significance of the inscription on the stele?,Honoring the deceased.,40.0
0120707,"Gilt-bronze Standing Buddha with Inscription of ""the Seventh Yeonga Year""",Who created this heritage?,Unknown,53.33
0120708,"Gilt-bronze Standing Buddha with Inscription of ""the Seventh Yeonga Year""",What is the significance of the inscription on this heritage?,Represents the date of the statue's creation,86.67
0120709,"Gilt-bronze Standing Buddha with Inscription of ""the Seventh Yeonga Year""",Where is this heritage currently located?,Unknown,53.33
0121713,Bronze Bell of Yongjusa Temple,Who is believed to have made this heritage?,Artisans from the Unified Silla Period,63.33
0121714,Bronze Bell of Yongjusa Temple,What does the inscription on the bell describe?,Prayers for the nation's peace and prosperity,85.0
0121715,Bronze Bell of Yongjusa Temple,Where is the Bronze Bell of Yongjusa Temple currently displayed?,National Museum of Korea,80.0
0122719,Hahoe Masks and Byeongsan Masks of Andong,What is the significance of the Hahoe Masks and Byeongsan Masks in Korean culture?,Used in traditional mask dances,80.0
0122720,Hahoe Masks and Byeongsan Masks of Andong,Where can these masks be found on display?,Andong Folk Museum,80.0
0122721,Hahoe Masks and Byeongsan Masks of Andong,How old are the Hahoe Masks and Byeongsan Masks believed to be?,Over 600 years old,85.0
0123725,Three-story Stone Pagoda at Jinjeonsa Temple Site,Who is believed to have built the Three-story Stone Pagoda at Jinjeonsa Temple Site?,Choe Chi-won,80.0
0123726,Three-story Stone Pagoda at Jinjeonsa Temple Site,What is the significance of the inscription on the stele at the Jinjeonsa Temple Site?,It provides information about the construction of the pagoda.,80.0
0123727,Three-story Stone Pagoda at Jinjeonsa Temple Site,What is the name of the temple site where this heritage is located?,Jinjeonsa Temple Site,76.67
0124731,Reliquaries from the Five-story Stone Pagoda in Wanggung-ri,Who discovered the relics in the pagoda?,Choe Chi-won,81.67
0124732,Reliquaries from the Five-story Stone Pagoda in Wanggung-ri,What is the significance of the relics found in the pagoda?,They are believed to be from the Buddha.,80.0
0125736,Stone Seated Bodhisattva from Hansongsa Temple Site,What is the name of the temple site where this heritage was found?,Hansongsa Temple Site,86.67
0125737,Stone Seated Bodhisattva from Hansongsa Temple Site,Who is believed to have carved this heritage?,An Gyeon,56.67
0125738,Stone Seated Bodhisattva from Hansongsa Temple Site,What is the significance of Bodhisattvas in Buddhist culture?,Enlightened beings who postpone nirvana to help others.,53.33
0126742,Green-glazed Burial Urn (Granite Case),What is the purpose of this burial urn?,Holding ashes,66.67
0126743,Green-glazed Burial Urn (Granite Case),What is the significance of green-glazed burial urns in Korean culture?,Symbol of longevity and rebirth,66.67
0126744,Green-glazed Burial Urn (Granite Case),Who was traditionally buried in such green-glazed burial urns in Korea?,Nobility and royalty,85.0
0127748,Reliquaries from the Three-story Stone Pagoda of Bulguksa Temple,What is the name of the temple where these reliquaries are from?,Bulguksa Temple,83.33
0127749,Reliquaries from the Three-story Stone Pagoda of Bulguksa Temple,Who is believed to have built the Three-story Stone Pagoda of Bulguksa Temple?,Kim Dae-seong,90.0
0127750,Reliquaries from the Three-story Stone Pagoda of Bulguksa Temple,What is the significance of the Three-story Stone Pagoda within Bulguksa Temple?,"It serves as a container for sarira, or relics of Buddha.",85.0
0128754,Gilt-bronze Standing Avalokitesvara Bodhisattva from Samyang-dong,Where is the Gilt-bronze Standing Avalokitesvara Bodhisattva from?,Samyang-dong,76.67
0128755,Gilt-bronze Standing Avalokitesvara Bodhisattva from Samyang-dong,Who is believed to have crafted this heritage?,An unknown artisan,56.67
0128756,Gilt-bronze Standing Avalokitesvara Bodhisattva from Samyang-dong,What is the significance of Avalokitesvara Bodhisattva in Buddhism?,Compassion and mercy,50.0
0129760,Gilt-bronze Standing Avalokitesvara Bodhisattva,Who is depicted in the heritage?,Avalokitesvara Bodhisattva,80.0
0129761,Gilt-bronze Standing Avalokitesvara Bodhisattva,What is the approximate height of the heritage?,40 cm,53.33
0129762,Gilt-bronze Standing Avalokitesvara Bodhisattva,Where was this heritage discovered?,Korea,56.67
0130766,Gilt-bronze Standing Bodhisattva,Who is the figure depicted in this heritage?,Bodhisattva,66.67
0130767,Gilt-bronze Standing Bodhisattva,What is the significance of the lotus flower in Buddhist iconography?,Symbol of purity and enlightenment,56.67
0130768,Gilt-bronze Standing Bodhisattva,Where was this heritage discovered?,Korea,56.67
0131772,Five-story Stone Pagoda in Jukjang-ri,Who built the Five-story Stone Pagoda in Jukjang-ri?,Silla Kingdom,76.67
0131773,Five-story Stone Pagoda in Jukjang-ri,What is the significance of the Godalsa Temple in Korean history?,It is a major Buddhist temple site.,33.33
0131774,Five-story Stone Pagoda in Jukjang-ri,How tall is the Five-story Stone Pagoda in Jukjang-ri?,Unknown,76.67
0132778,Family Register of Hwaryeong-bu Prefecture Written in the Late Goryeo Dynasty,In which dynasty was the Family Register of Hwaryeong-bu Prefecture written?,Goryeo,91.67
0132779,Family Register of Hwaryeong-bu Prefecture Written in the Late Goryeo Dynasty,What is the content of the Family Register of Hwaryeong-bu Prefecture?,Genealogical records,86.67
0132780,Family Register of Hwaryeong-bu Prefecture Written in the Late Goryeo Dynasty,Who was the author of the Family Register of Hwaryeong-bu Prefecture?,Unknown,73.33
0133784,Jingbirok (The Book of Correction),Who wrote 'Jingbirok (The Book of Corrections)'?,Yu Seong-ryong,91.67
0133785,Jingbirok (The Book of Correction),What is the significance of 'Jingbirok (The Book of Corrections)' in Korean history?,It is a record of the Japanese invasions of Korea in the late 16th century.,85.0
0133786,Jingbirok (The Book of Correction),In what year was 'Jingbirok (The Book of Corrections)' completed?,1612,91.67
0134790,Celadon Gourd-shaped Ewer with Lotus Design in Underglaze Copper,What is the shape of this heritage?,Gourd-shaped,83.33
0134791,Celadon Gourd-shaped Ewer with Lotus Design in Underglaze Copper,What is the technique used to create the design on this heritage?,Underglaze,80.0
0134792,Celadon Gourd-shaped Ewer with Lotus Design in Underglaze Copper,What is the cultural significance of lotus in the context of this heritage?,Symbol of purity and enlightenment,66.67
0135796,Gilt-bronze Standing Bodhisattva Triad,Who is believed to be the central figure in this heritage?,Amitabha Buddha,80.0
0135797,Gilt-bronze Standing Bodhisattva Triad,Where was this heritage discovered?,Korea,56.67
0135798,Gilt-bronze Standing Bodhisattva Triad,What is the significance of the standing bodhisattva in Buddhist art?,Represents compassion and spiritual enlightenment,53.33
0136802,Album of Genre Paintings by Sin Yun-bok,Who is the artist behind the 'Album of Genre Paintings by Sin Yun-bok'?,Sin Yun-bok,93.33
0136803,Album of Genre Paintings by Sin Yun-bok,What is the cultural significance of genre paintings in Korean art history?,Depiction of everyday life,70.0
0136804,Album of Genre Paintings by Sin Yun-bok,In what time period did Sin Yun-bok create the 'Album of Genre Paintings'?,Joseon Dynasty,80.0
0137808,Gilt-bronze Miniature Buddhist Flagpole with Dragon Finial,What is the purpose of the Buddhist flagpole?,Ritualistic significance,63.33
0137809,Gilt-bronze Miniature Buddhist Flagpole with Dragon Finial,Who is believed to have made this miniature Buddhist flagpole?,Skilled artisan,50.0
0137810,Gilt-bronze Miniature Buddhist Flagpole with Dragon Finial,What is the significance of the dragon finial on this heritage?,Symbol of power and strength,73.33
0138814,Bronze Artifacts from Bisan-dong,Where were the Bronze Artifacts from Bisan-dong discovered?,South Korea,60.0
0138815,Bronze Artifacts from Bisan-dong,Who were the artifacts believed to have belonged to in ancient times?,Members of the elite class,63.33
0138816,Bronze Artifacts from Bisan-dong,What is the significance of the artifacts from Bisan-dong in understanding ancient Korean society?,They provide insights into the social hierarchy and cultural practices of the time.,78.33
0139820,Bronze Artifacts from Bisan-dong,Where were the Bronze Artifacts from Bisan-dong discovered?,South Korea,63.33
0139821,Bronze Artifacts from Bisan-dong,Who excavated the site where the artifacts were found?,Archaeologists,53.33
0139822,Bronze Artifacts from Bisan-dong,What is the significance of these artifacts in Korean history?,Cultural heritage,60.0
0140826,Gold Crown and Ornaments from Goryeong (Presumed),Where is Goryeong located?,Korea,43.33
0140827,Gold Crown and Ornaments from Goryeong (Presumed),Who is believed to have owned this gold crown and ornaments?,King Gyeongae,85.0
0140828,Gold Crown and Ornaments from Goryeong (Presumed),What is the significance of Goryeong in Korean history?,It was a major cultural center.,46.67
0141832,Folding Screen of Gunseondo (Daoist Immortals) by Kim Hong-do,Who is the artist of this Folding Screen?,Kim Hong-do,83.33
0141833,Folding Screen of Gunseondo (Daoist Immortals) by Kim Hong-do,What is the theme depicted on the Folding Screen of Gunseondo?,Daoist Immortals,91.67
0141834,Folding Screen of Gunseondo (Daoist Immortals) by Kim Hong-do,In what year was the Folding Screen of Gunseondo created?,18th century,80.0
0142838,Bronze Mirror with Inlaid Mother-of-pearl Floral Design,What is the main material of this heritage?,Bronze,73.33
0142839,Bronze Mirror with Inlaid Mother-of-pearl Floral Design,What technique was used to create the floral design on this heritage?,Inlay,85.0
0142840,Bronze Mirror with Inlaid Mother-of-pearl Floral Design,What type of design is featured on this heritage?,Floral,73.33
0143844,Bronze Mirror with Fine Linear Design,Who is believed to have owned this bronze mirror?,Wealthy individual,56.67
0143845,Bronze Mirror with Fine Linear Design,What time period is this bronze mirror from?,Ancient times,53.33
0143846,Bronze Mirror with Fine Linear Design,What was the purpose of bronze mirrors like this in ancient cultures?,Reflective tool for grooming and self-admiration,53.33
0144850,Dongguk jeongun (Standard Rhymes of the Eastern State),Who compiled the 'Dongguk jeongun (Standard Rhymes of the Eastern State)'?,Choe Chi-won,91.67
0144851,Dongguk jeongun (Standard Rhymes of the Eastern State),Where is the stele of the 'Dongguk jeongun' currently located?,South Korea,50.0
0144852,Dongguk jeongun (Standard Rhymes of the Eastern State),What is the literary work inscribed on the stele about?,Korean phonology and rhymes,85.0
0145856,Bronze Artifacts from Daegok-ri,Where were these Bronze Artifacts from Daegok-ri discovered?,South Korea,63.33
0145857,Bronze Artifacts from Daegok-ri,Who were the artifacts from Daegok-ri believed to be used by?,Ancient elites,73.33
